Date,^spx_d,^shc_d,^hsi_d,^ndq_d,^dji_d,^nkx_d
1902-04-01,8.72,,,,48.67,
1902-04-02,8.73,,,,48.65,
1902-04-03,8.79,,,,48.53,
1902-04-04,8.81,,,,48.39,
1902-04-05,8.81,,,,,
1902-04-07,8.75,,,,48.23,
1902-04-08,8.78,,,,48.23,
1902-04-09,8.81,,,,48.35,
1902-04-10,8.75,,,,47.76,
1902-04-11,8.76,,,,47.93,
1902-04-12,8.78,,,,,
1902-04-14,8.82,,,,47.82,
1902-04-15,8.87,,,,48.13,
1902-04-16,8.89,,,,48.42,
1902-04-17,8.95,,,,48.84,
1902-04-18,8.99,,,,49.07,
1902-04-19,8.99,,,,,
1902-04-21,8.94,,,,48.6,
1902-04-22,8.87,,,,47.95,
1902-04-23,8.88,,,,48.41,
1902-04-24,8.99,,,,49.57,
1902-04-25,8.98,,,,48.97,
1902-04-26,8.99,,,,,
1902-04-28,9.01,,,,48.75,
1902-04-29,9.06,,,,48.79,
1902-04-30,9.02,,,,48.53,
1902-05-01,9.06,,,,48.6,
1902-05-02,8.9,,,,47.72,
1902-05-03,8.95,,,,,
1902-05-05,8.89,,,,47.84,
1902-05-06,9.03,,,,48.53,
1902-05-07,8.97,,,,48.06,
1902-05-08,8.99,,,,48.28,
1902-05-09,8.95,,,,48.09,
1902-05-10,8.89,,,,,
1902-05-12,8.81,,,,47.45,
1902-05-13,8.87,,,,47.73,
1902-05-14,8.89,,,,47.76,
1902-05-15,8.92,,,,47.84,
1902-05-16,8.8,,,,47.33,
1902-05-17,8.76,,,,,
1902-05-19,8.74,,,,46.88,
1902-05-20,8.81,,,,47.32,
1902-05-21,8.86,,,,47.7,
1902-05-22,8.87,,,,47.71,
1902-05-23,8.91,,,,48.12,
1902-05-24,8.92,,,,,
1902-05-26,8.87,,,,48.13,
1902-05-27,8.87,,,,47.98,
1902-05-28,8.87,,,,47.95,
1902-05-29,8.9,,,,48.1,
1902-06-02,8.88,,,,47.99,
1902-06-03,8.87,,,,47.92,
1902-06-04,8.86,,,,47.77,
1902-06-05,8.8,,,,47.31,
1902-06-06,8.81,,,,47.41,
1902-06-07,8.82,,,,,
1902-06-09,8.83,,,,47.57,
1902-06-10,8.88,,,,47.88,
1902-06-11,8.9,,,,47.95,
1902-06-12,8.89,,,,47.76,
1902-06-13,8.93,,,,47.76,
1902-06-14,8.94,,,,,
1902-06-16,8.95,,,,47.73,
1902-06-17,8.96,,,,47.72,
1902-06-18,8.98,,,,47.39,
1902-06-19,8.91,,,,47.01,
1902-06-20,8.92,,,,46.9,
1902-06-21,8.91,,,,,
1902-06-23,8.88,,,,46.5,
1902-06-24,8.82,,,,46.11,
1902-06-25,8.83,,,,46.22,
1902-06-26,8.86,,,,46.38,
1902-06-27,8.86,,,,46.16,
1902-06-28,8.88,,,,,
1902-06-30,8.88,,,,46.58,
1902-07-01,8.9,,,,46.53,
1902-07-02,8.93,,,,46.9,
1902-07-03,8.97,,,,47.0,
